id,docking_score,num_conformers,smiles,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,valid,solubility,caco2,bbb,hia,bioavailability,pgp,cyp1a2,cyp2c19,cyp2c9,cyp2d6,cyp3a4
11437,-11.596007,70,C[P-]1=NC(c2ccc(NC3=CNC(O)C=C3)c(C(=O)OCC=CC=C=[C-]O)c2)CC1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)C1CC[P-](=N1)C,C22H24N3O4P,425.42,30,6,0.27,8,5,4,124.11,137.32,0.0,2.38,2.62,1.18,4.16,2.07,-3.6,0.108,0.000253,Soluble,-4.9,0.0053,1.25e-05,Moderately soluble,-3.15,0.299,0.000703,Soluble,High,No,Yes,No,No,No,No,No,-7.21,0,0,0,1,0,0.56,0,4,2,5.25,True,-3.741198778152466,-5.75463063584829,0.366621210770828,0.9258821531236435,0.7395994644300549,0.5661372062997911,0.11013363090635896,0.6268921063294887,0.39214046979908074,0.03349968982236524,0.4374143545029739
20327,-11.433084,11,O=C(O[O-])c1cc(NC2CCCCC2)ccc1NC1=CNC(OO)C=C1,Molecule 1,OOC1NC=C(C=C1)Nc1ccc(cc1C(=O)O[O-])NC1CCCCC1,C18H22N3O5,360.38,26,6,0.39,7,5,4,98.62,114.91,2.51,3.6,2.4,1.69,-0.08,2.02,-4.05,0.032,8.89e-05,Moderately soluble,-5.7,0.000719,2e-06,Moderately soluble,-2.66,0.785,0.00218,Soluble,High,No,Yes,No,Yes,Yes,No,No,-5.94,0,0,0,0,0,0.56,0,1,2,4.34,True,-3.8813705444335938,-5.592490274131765,0.3457859576384457,0.9173117045243778,0.7643421764585862,0.16399679537753958,0.18818824405969867,0.5529758102732025,0.14571437725038472,0.037946759774260166,0.2574926540004308
19828,-11.38129,49,O=C(OCC=C[C-]C=C=[C-]O)c1cc(NC2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=C[C-]C=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCCC1,C25H28N3O4,434.51,32,6,0.36,10,4,5,127.58,102.85,0.0,4.53,3.22,2.16,2.63,2.51,-4.87,0.00591,1.36e-05,Moderately soluble,-6.41,0.000168,3.87e-07,Poorly soluble,-3.89,0.0564,0.00013,Soluble,High,No,Yes,No,No,Yes,No,No,-5.73,0,0,0,0,0,0.56,0,2,3,4.73,True,-4.128548622131348,-5.786992930004086,0.38051072801029573,0.9074874428448849,0.7514450790395772,0.5583757734123289,0.055871602389183796,0.5063066612223356,0.3197696967579962,0.03955666449132018,0.34427027220828643
12700,-11.3704405,105,N[N-]C1CCCCC1c1ccc(NC2=CNC(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,N[N-]C1CCCCC1c1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O,C24H28N4O4,436.5,32,6,0.33,9,6,5,126.06,116.84,3.89,2.77,2.86,1.71,1.1,2.47,-3.84,0.0637,0.000146,Soluble,-4.88,0.00576,1.32e-05,Moderately soluble,-2.89,0.56,0.00128,Soluble,High,No,Yes,No,No,Yes,No,No,-7.0,0,0,0,0,0,0.56,0,4,2,5.11,True,-3.586108684539795,-6.009085973902951,0.2453576115066464,0.854215733015906,0.7267070069151746,0.5315427459370828,0.073469019524576,0.5334079311461825,0.3081185387727814,0.03853183331336005,0.4662024417176709
18919,-11.320601,32,O=C(OCC=CC=C=[C-]O)c1cc(N[C-]2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)N[C-]1CCCCC1,C24H27N3O4,421.49,31,6,0.33,9,4,5,123.83,102.85,3.22,4.23,3.31,1.95,2.22,2.99,-4.67,0.00907,2.15e-05,Moderately soluble,-6.1,0.000334,7.93e-07,Poorly soluble,-3.5,0.135,0.000319,Soluble,High,No,Yes,No,No,Yes,No,Yes,-5.87,0,0,0,0,0,0.56,0,3,3,4.64,True,-4.271729469299316,-5.903897554902003,0.364471560970379,0.9025335916232073,0.7540576172022984,0.6873834982157405,0.05970975264240585,0.5449072968381562,0.3169353821530824,0.03623194719790096,0.40942579068625234
16522,-11.263454,37,O=C(OCC=CC=C=[C-]O)c1cc(N=[P-]2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)N=[P-]1CCCCC1,C23H26N3O4P,439.44,31,6,0.3,8,5,4,126.15,137.32,0.0,3.13,4.07,1.67,4.47,2.67,-4.15,0.031,7.05e-05,Moderately soluble,-5.68,0.000912,2.08e-06,Moderately soluble,-3.54,0.127,0.000288,Soluble,Low,No,Yes,No,No,Yes,No,No,-6.76,0,0,0,1,0,0.56,0,4,2,4.88,True,-3.8956241607666016,-5.7072073028192785,0.4318308930322952,0.9149112488498427,0.7477635122916483,0.6710221290375922,0.100190274571812,0.5388535134221314,0.3717892691496663,0.03596399741425403,0.4540983488039882
9593,-11.061754,106,CCC(CCC=[N-])Nc1ccc(NC2=CNC(O)C=C2)c(C(=O)OCC=CC=C=[C-]O)c1,Molecule 1,[N-]=CCCC(Nc1ccc(c(c1)C(=O)OCC=CC=C=[C-]O)NC1=CNC(C=C1)O)CC,C24H28N4O4,436.5,32,6,0.29,13,5,5,130.01,102.85,2.66,3.26,3.01,1.09,2.73,2.55,-3.88,0.0574,0.000132,Soluble,-5.09,0.00352,8.05e-06,Moderately soluble,-3.79,0.0711,0.000163,Soluble,High,No,Yes,No,No,Yes,No,Yes,-6.65,0,1,1,0,0,0.56,0,4,2,5.01,True,-3.710700273513794,-6.002750740796205,0.31503095464979336,0.8671164715008086,0.7454741894277026,0.6141860518217899,0.08403174716358992,0.5903936429129913,0.33438206806863263,0.032083355072534306,0.4513209852826283
22938,-11.058166,60,O[C-]=C=CC=CCO[C-](O)c1cc(NC2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCO[C-](c1cc(ccc1NC1=CNC(C=C1)O)NC1CCCCC1)O,C24H29N3O4,423.5,31,6,0.38,9,4,6,124.29,106.01,4.32,3.48,3.21,1.62,1.9,2.91,-4.21,0.0263,6.2e-05,Moderately soluble,-5.39,0.00173,4.09e-06,Moderately soluble,-3.02,0.405,0.000957,Soluble,High,No,Yes,No,No,Yes,No,No,-6.41,1,0,0,0,1,0.56,0,3,2,4.79,True,-3.33142352104187,-6.0964550682803695,0.25660988309734883,0.8670583748181411,0.7172241086686946,0.6360025583541441,0.07735388241635834,0.5965984321170926,0.23978275058373044,0.03847040988795783,0.4752857553050072
18560,-11.012978,70,O=C(OCC=CC=C=[C-]O)c1cc(NC2CCC[N-]C2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)NC1C[N-]CCC1,C23H26N4O4,422.48,31,6,0.3,9,5,5,125.28,102.85,3.7,2.54,1.97,0.95,1.26,2.09,-3.61,0.104,0.000246,Soluble,-4.35,0.019,4.5e-05,Moderately soluble,-3.27,0.228,0.00054,Soluble,High,No,Yes,No,No,Yes,No,No,-7.07,0,0,0,0,0,0.55,0,3,2,4.84,True,-3.407700777053833,-5.9419887635139945,0.3136740031284694,0.8931373610249104,0.7521350123199099,0.5131951886251879,0.10564512579257614,0.5532204400471763,0.2736884493085551,0.03617461197680132,0.39555610394086066
16494,-10.905986,43,O=C(OCC=CC=C=[C-]O)c1cc(N([S-])C2CCCCC2)ccc1NC1=CNC(O)C=C1,Molecule 1,O[C-]=C=CC=CCOC(=O)c1cc(ccc1NC1=CNC(C=C1)O)N(C1CCCCC1)[S-],C24H27N3O4S,453.55,32,6,0.33,9,4,4,130.74,94.06,4.63,4.85,3.19,1.95,1.94,3.31,-5.25,0.00254,5.59e-06,Moderately soluble,-6.56,0.000125,2.76e-07,Poorly soluble,-2.86,0.626,0.00138,Soluble,High,No,No,No,Yes,Yes,No,Yes,-5.62,0,1,0,0,0,0.56,0,4,3,4.67,True,-4.195049285888672,-5.779782118877414,0.3261296016254958,0.8999898211725548,0.7429019035466536,0.6107600325485298,0.0717581720480469,0.5980966147825045,0.35296746092255377,0.04022819803150864,0.3887184617157871
